playoffs,team,points,turnovers
No,CHO,83,9.5
No,DEN,74.2,10.3
No,DET,90.4,12.2
No,IND,69.3,10.3
No,LAL,76.1,9.7
No,MIA,79.1,11.9
No,MIN,68.4,10.1
No,NYK,65.3,9.1
No,OKC,114,15.2
No,ORL,82.7,12.3
No,PHI,35.4,5.7
No,PHO,88.5,12.4
No,SAC,92.1,14.4
No,UTA,66.7,9.2
Yes,ATL,98.5,13.1
Yes,BOS,98.3,12.7
Yes,BRK,80.9,11.8
Yes,CHI,106,13
Yes,CLE,106.7,14.2
Yes,DAL,82.7,10
Yes,GSW,82.4,11.6
Yes,HOU,99.6,14.8
Yes,LAC,101.9,11.5
Yes,MEM,99.9,12.9
Yes,MIL,92.2,15.8
Yes,NOP,98.7,12.6
Yes,POR,99.2,11.9
Yes,SAS,65.7,8.8
Yes,TOR,102.8,12
Yes,WAS,72.8,11.4
